Stock Ticker,Current Price,Predicted Price
AAPL,183.1307,183.72008
ABBV,173.52,173.19533
ABT,111.665,112.136185
ACN,369.955,368.78735
ADBE,605.32,604.49646
AMD,175.01,173.90694
AMZN,169.245,168.72763
BAC,33.08,33.002567
BA,203.8895,203.81711
BP,35.8147,35.948032
CAT,316.54,314.96857
CRM,287.16,284.9489
CSCO,49.8895,49.985332
CVS,76.405,76.745224
CVX,150.93,151.36087
C,53.88,53.603252
DHR,244.83,242.59201
F,12.6,12.611849
GE,145.0,144.29727
GM,38.36,38.43737
GOOGL,144.93,144.63486
GS,379.17,379.82294
HD,356.34,356.8468
HMC,33.675,33.73797
HON,194.425,194.353
IBM,182.73,184.34215